"","time","population","Conc"
"13632",362900,"S",85132.6007453862
"13633",363000,"S",85102.1689344858
"13634",363100,"S",85071.7444540197
"13635",363200,"S",85041.3273054276
"13636",363300,"S",85010.9174901452
"13637",363400,"S",84980.5150096047
"13638",363500,"S",84950.1198652348
"13639",363600,"S",84919.7320584608
"13640",363700,"S",84889.351590704
"13641",363800,"S",84858.9784633825
"13642",363900,"S",84828.6126779107
"13643",364000,"S",84798.2542356997
"13644",364100,"S",84767.9031381567
"13645",364200,"S",84737.5593866857
"13646",364300,"S",84707.2229826869
"13647",364400,"S",84676.8939275569
"13648",364500,"S",84646.572222689
"13649",364600,"S",84616.2578694726
"13650",364700,"S",84585.950869294
"13651",364800,"S",84555.6512235357
"13652",364900,"S",84525.3589335769
"13653",365000,"S",84495.074000793
"13654",365100,"S",84464.796426556
"13655",365200,"S",84434.5262122346
"13656",365300,"S",84404.2633591936
"13657",365400,"S",84374.0078687943
"13658",365500,"S",84343.7597423948
"13659",365600,"S",84313.5189813495
"13660",365700,"S",84283.2855870092
"13661",365800,"S",84253.0595607212
"13662",365900,"S",84222.8409038297
"13663",366000,"S",84192.6296176747
"13664",366100,"S",84162.4257035933
"13665",366200,"S",84132.2291629187
"13666",366300,"S",84102.0399969809
"13667",366400,"S",84071.8582071063
"13668",366500,"S",84041.6837946178
"13669",366600,"S",84011.5167608349
"13670",366700,"S",83981.3571070735
"13671",366800,"S",83951.2048346461
"13672",366900,"S",83921.0599448616
"13673",367000,"S",83890.9224390253
"13674",367100,"S",83860.7923184394
"13675",367200,"S",83830.6695844022
"13676",367300,"S",83800.5542382091
"13677",367400,"S",83770.4462811515
"13678",367500,"S",83740.3457145176
"13679",367600,"S",83710.2525395921
"13680",367700,"S",83680.1667576562
"13681",367800,"S",83650.0883699875
"13682",367900,"S",83620.0173778603
"13683",368000,"S",83589.9537825455
"13684",368100,"S",83559.8975853106
"13685",368200,"S",83529.8487874195
"13686",368300,"S",83499.8073901325
"13687",368400,"S",83469.773394707
"13688",368500,"S",83439.7468023965
"13689",368600,"S",83409.7276144512
"13690",368700,"S",83379.7158321176
"13691",368800,"S",83349.711456639
"13692",368900,"S",83319.7144892554
"13693",369000,"S",83289.7249312033
"13694",369100,"S",83259.7427837156
"13695",369200,"S",83229.768048022
"13696",369300,"S",83199.8007253483
"13697",369400,"S",83169.8408169174
"13698",369500,"S",83139.8883239487
"13699",369600,"S",83109.9432476581
"13700",369700,"S",83080.0055892584
"13701",369800,"S",83050.0753499585
"13702",369900,"S",83020.1525309642
"13703",370000,"S",82990.2371334776
"13704",370100,"S",82960.3291586975
"13705",370200,"S",82930.4286078195
"13706",370300,"S",82900.5354820358
"13707",370400,"S",82870.649782535
"13708",370500,"S",82840.7715105023
"13709",370600,"S",82810.9006671197
"13710",370700,"S",82781.0372535659
"13711",370800,"S",82751.1812710158
"13712",370900,"S",82721.3327206413
"13713",371000,"S",82691.4916036108
"13714",371100,"S",82661.6579210892
"13715",371200,"S",82631.831674238
"13716",371300,"S",82602.0128642154
"13717",371400,"S",82572.2014921766
"13718",371500,"S",82542.3975592732
"13719",371600,"S",82512.6010666534
"13720",371700,"S",82482.8120154618
"13721",371800,"S",82453.0304068398
"13722",371900,"S",82423.2562419254
"13723",372000,"S",82393.4895218533
"13724",372100,"S",82363.7302477549
"13725",372200,"S",82333.9784207584
"13726",372300,"S",82304.2340419886
"13727",372400,"S",82274.4971125667
"13728",372500,"S",82244.7676336107
"13729",372600,"S",82215.0456062352
"13730",372700,"S",82185.3310315515
"13731",372800,"S",82155.6239106676
"13732",372900,"S",82125.9242446882
"13733",373000,"S",82096.2320347144
"13734",373100,"S",82066.5472818443
"13735",373200,"S",82036.8699871724
"13736",373300,"S",82007.2001517902
"13737",373400,"S",81977.5377767857
"13738",373500,"S",81947.8828632436
"13739",373600,"S",81918.2354122456
"13740",373700,"S",81888.5954248695
"13741",373800,"S",81858.9629021901
"13742",373900,"S",81829.3378452789
"13743",374000,"S",81799.7202552042
"13744",374100,"S",81770.1101330308
"13745",374200,"S",81740.50747982
"13746",374300,"S",81710.9122966303
"13747",374400,"S",81681.3245845165
"13748",374500,"S",81651.7443445304
"13749",374600,"S",81622.1715777201
"13750",374700,"S",81592.6062851311
"13751",374800,"S",81563.0484678049
"13752",374900,"S",81533.49812678
"13753",375000,"S",81503.9552630916
"13754",375100,"S",81474.4198777721
"13755",375200,"S",81444.8919718499
"13756",375300,"S",81415.3715463503
"13757",375400,"S",81385.8586022956
"13758",375500,"S",81356.3531407047
"13759",375600,"S",81326.8551625932
"13760",375700,"S",81297.3646689733
"13761",375800,"S",81267.8816608543
"13762",375900,"S",81238.4061392419
"13763",376000,"S",81208.9381051388
"13764",376100,"S",81179.4775595443
"13765",376200,"S",81150.0245034543
"13766",376300,"S",81120.5789378617
"13767",376400,"S",81091.1408637562
"13768",376500,"S",81061.710282124
"13769",376600,"S",81032.2871939482
"13770",376700,"S",81002.8716002089
"13771",376800,"S",80973.4635018824
"13772",376900,"S",80944.0628999425
"13773",377000,"S",80914.6697953591
"13774",377100,"S",80885.284189099
"13775",377200,"S",80855.906082126
"13776",377300,"S",80826.5354754007
"13777",377400,"S",80797.1723698804
"13778",377500,"S",80767.8167665189
"13779",377600,"S",80738.4686662672
"13780",377700,"S",80709.1280700729
"13781",377800,"S",80679.7949788803
"13782",377900,"S",80650.4693936307
"13783",378000,"S",80621.151315262
"13784",378100,"S",80591.8407447092
"13785",378200,"S",80562.5376829036
"13786",378300,"S",80533.2421307738
"13787",378400,"S",80503.9540892448
"13788",378500,"S",80474.6735592387
"13789",378600,"S",80445.4005416743
"13790",378700,"S",80416.1350374672
"13791",378800,"S",80386.8770475299
"13792",378900,"S",80357.6265727716
"13793",379000,"S",80328.3836140984
"13794",379100,"S",80299.1481724131
"13795",379200,"S",80269.9202486155
"13796",379300,"S",80240.6998436021
"13797",379400,"S",80211.4869582664
"13798",379500,"S",80182.2815934984
"13799",379600,"S",80153.0837501852
"13800",379700,"S",80123.8934292105
"13801",379800,"S",80094.7106314552
"13802",379900,"S",80065.5353577968
"13803",380000,"S",80036.3676091099
"13804",380100,"S",80007.2073862657
"13805",380200,"S",79978.054690132
"13806",380300,"S",79948.9095215738
"13807",380400,"S",79919.771881453
"13808",380500,"S",79890.6417706283
"13809",380600,"S",79861.5191899551
"13810",380700,"S",79832.4041402859
"13811",380800,"S",79803.2966224698
"13812",380900,"S",79774.1966373529
"13813",381000,"S",79745.104185778
"13814",381100,"S",79716.0192685851
"13815",381200,"S",79686.9418866109
"13816",381300,"S",79657.8720406889
"13817",381400,"S",79628.8097316496
"13818",381500,"S",79599.7549603202
"13819",381600,"S",79570.7077275253
"13820",381700,"S",79541.6680340858
"13821",381800,"S",79512.6358808196
"13822",381900,"S",79483.6112685417
"13823",382000,"S",79454.5941980639
"13824",382100,"S",79425.5846701949
"13825",382200,"S",79396.5826857404
"13826",382300,"S",79367.5882455025
"13827",382400,"S",79338.6013502807
"13828",382500,"S",79309.6220008712
"13829",382600,"S",79280.6501980675
"13830",382700,"S",79251.6859426595
"13831",382800,"S",79222.7292354342
"13832",382900,"S",79193.7800771755
"13833",383000,"S",79164.8384686644
"13834",383100,"S",79135.9044106786
"13835",383200,"S",79106.9779039926
"13836",383300,"S",79078.058949378
"13837",383400,"S",79049.1475476036
"13838",383500,"S",79020.2436994348
"13839",383600,"S",78991.347405634
"13840",383700,"S",78962.4586669606
"13841",383800,"S",78933.5774841709
"13842",383900,"S",78904.703858018
"13843",384000,"S",78875.837789252
"13844",384100,"S",78846.97927862
"13845",384200,"S",78818.1283268659
"13846",384300,"S",78789.2849347309
"13847",384400,"S",78760.4491029529
"13848",384500,"S",78731.6208322669
"13849",384600,"S",78702.8001234046
"13850",384700,"S",78673.9869770948
"13851",384800,"S",78645.1813940634
"13852",384900,"S",78616.3833750332
"13853",385000,"S",78587.5929207239
"13854",385100,"S",78558.8100318521
"13855",385200,"S",78530.0347091314
"13856",385300,"S",78501.2669532725
"13857",385400,"S",78472.5067649828
"13858",385500,"S",78443.7541449671
"13859",385600,"S",78415.0090939268
"13860",385700,"S",78386.2716125606
"13861",385800,"S",78357.541701564
"13862",385900,"S",78328.8193616294
"13863",386000,"S",78300.1045934464
"13864",386100,"S",78271.3973977015
"13865",386200,"S",78242.6977750782
"13866",386300,"S",78214.0057262571
"13867",386400,"S",78185.3212519154
"13868",386500,"S",78156.6443527278
"13869",386600,"S",78127.9750293658
"13870",386700,"S",78099.3132824979
"13871",386800,"S",78070.6591127897
"13872",386900,"S",78042.012520904
"13873",387000,"S",78013.3735075
"13874",387100,"S",77984.7420732342
"13875",387200,"S",77956.1182187602
"13876",387300,"S",77927.5019447287
"13877",387400,"S",77898.8932517872
"13878",387500,"S",77870.2921405806
"13879",387600,"S",77841.6986117507
"13880",387700,"S",77813.1126659362
"13881",387800,"S",77784.5343037728
"13882",387900,"S",77755.9635258932
"13883",388000,"S",77727.4003329271
"13884",388100,"S",77698.8447255015
"13885",388200,"S",77670.2967042404
"13886",388300,"S",77641.7562697648
"13887",388400,"S",77613.2234226928
"13888",388500,"S",77584.6981636394
"13889",388600,"S",77556.1804932168
"13890",388700,"S",77527.6704120343
"13891",388800,"S",77499.167920698
"13892",388900,"S",77470.6730198111
"13893",389000,"S",77442.1857099741
"13894",389100,"S",77413.7059917842
"13895",389200,"S",77385.2338658363
"13896",389300,"S",77356.769332722
"13897",389400,"S",77328.3123930299
"13898",389500,"S",77299.8630473456
"13899",389600,"S",77271.4212962519
"13900",389700,"S",77242.9871403288
"13901",389800,"S",77214.5605801531
"13902",389900,"S",77186.1416162992
"13903",390000,"S",77157.730249338
"13904",390100,"S",77129.3264798379
"13905",390200,"S",77100.9303083641
"13906",390300,"S",77072.5417354791
"13907",390400,"S",77044.1607617424
"13908",390500,"S",77015.7873877108
"13909",390600,"S",76987.4216139379
"13910",390700,"S",76959.0634409747
"13911",390800,"S",76930.712869369
"13912",390900,"S",76902.369899666
"13913",391000,"S",76874.0345324078
"13914",391100,"S",76845.7067681337
"13915",391200,"S",76817.3866073801
"13916",391300,"S",76789.0740506807
"13917",391400,"S",76760.7690985661
"13918",391500,"S",76732.4717515639
"13919",391600,"S",76704.182010199
"13920",391700,"S",76675.8998749934
"13921",391800,"S",76647.6253464664
"13922",391900,"S",76619.3584251345
"13923",392000,"S",76591.0991115111
"13924",392100,"S",76562.8474061066
"13925",392200,"S",76534.6033094289
"13926",392300,"S",76506.3668219826
"13927",392400,"S",76478.1379442698
"13928",392500,"S",76449.9166767897
"13929",392600,"S",76421.7030200387
"13930",392700,"S",76393.4969745102
"13931",392800,"S",76365.298540695
"13932",392900,"S",76337.1077190809
"13933",393000,"S",76308.9245101528
"13934",393100,"S",76280.7489143927
"13935",393200,"S",76252.5809322799
"13936",393300,"S",76224.4205642911
"13937",393400,"S",76196.2678108997
"13938",393500,"S",76168.1226725765
"13939",393600,"S",76139.9851497893
"13940",393700,"S",76111.8552430034
"13941",393800,"S",76083.7329526812
"13942",393900,"S",76055.6182792821
"13943",394000,"S",76027.5112232628
"13944",394100,"S",75999.4117850774
"13945",394200,"S",75971.3199651769
"13946",394300,"S",75943.2357640096
"13947",394400,"S",75915.159182021
"13948",394500,"S",75887.0902196536
"13949",394600,"S",75859.0288773473
"13950",394700,"S",75830.9751555392
"13951",394800,"S",75802.9290546635
"13952",394900,"S",75774.8905751518
"13953",395000,"S",75746.8597174328
"13954",395100,"S",75718.8364819323
"13955",395200,"S",75690.8208690734
"13956",395300,"S",75662.8128792765
"13957",395400,"S",75634.8125129592
"13958",395500,"S",75606.8197705363
"13959",395600,"S",75578.8346524198
"13960",395700,"S",75550.857159019
"13961",395800,"S",75522.8872907403
"13962",395900,"S",75494.9250479872
"13963",396000,"S",75466.9704311608
"13964",396100,"S",75439.0234406591
"13965",396200,"S",75411.0840768776
"13966",396300,"S",75383.152340209
"13967",396400,"S",75355.2282310431
"13968",396500,"S",75327.3117497671
"13969",396600,"S",75299.4028967654
"13970",396700,"S",75271.5016724197
"13971",396800,"S",75243.6080771087
"13972",396900,"S",75215.7221112086
"13973",397000,"S",75187.8437750927
"13974",397100,"S",75159.9730691316
"13975",397200,"S",75132.1099936933
"13976",397300,"S",75104.2545491431
"13977",397400,"S",75076.4067358434
"13978",397500,"S",75048.5665541539
"13979",397600,"S",75020.7340044317
"13980",397700,"S",74992.9090870309
"13981",397800,"S",74965.0918023031
"13982",397900,"S",74937.2821505972
"13983",398000,"S",74909.4801322592
"13984",398100,"S",74881.6857476325
"13985",398200,"S",74853.8989970579
"13986",398300,"S",74826.1198808732
"13987",398400,"S",74798.3483994136
"13988",398500,"S",74770.5845530118
"13989",398600,"S",74742.8283419975
"13990",398700,"S",74715.0797666979
"13991",398800,"S",74687.3388274374
"13992",398900,"S",74659.6055245377
"13993",399000,"S",74631.879858318
"13994",399100,"S",74604.1618290947
"13995",399200,"S",74576.4514371814
"13996",399300,"S",74548.7486828892
"13997",399400,"S",74521.0535665262
"13998",399500,"S",74493.3660883983
"13999",399600,"S",74465.6862488082
"14000",399700,"S",74438.0140480562
"14001",399800,"S",74410.3494864401
"14002",399900,"S",74382.6925642545
"14003",4e+05,"S",74355.0432817916
"14004",400100,"S",74327.4016393412
"14005",400200,"S",74299.76763719
"14006",400300,"S",74272.1412756224
"14007",400400,"S",74244.5225549199
"14008",400500,"S",74216.9114753616
"14009",400600,"S",74189.3080372237
"14010",400700,"S",74161.7122407798
"14011",400800,"S",74134.1240863007
"14012",400900,"S",74106.5435740547
"14013",401000,"S",74078.9707043077
"14014",401100,"S",74051.4054773227
"14015",401200,"S",74023.8478933599
"14016",401300,"S",73996.2979526769
"14017",401400,"S",73968.755655529
"14018",401500,"S",73941.2210021687
"14019",401600,"S",73913.6939928458
"14020",401700,"S",73886.1746278077
"14021",401800,"S",73858.6629072987
"14022",401900,"S",73831.158831561
"14023",402000,"S",73803.6624008336
"14024",402100,"S",73776.1736153535
"14025",402200,"S",73748.6924753546
"14026",402300,"S",73721.2189810683
"14027",402400,"S",73693.7531327236
"14028",402500,"S",73666.2949305466
"14029",402600,"S",73638.8443747612
"14030",402700,"S",73611.4014655883
"14031",402800,"S",73583.9662032463
"14032",402900,"S",73556.5385879512
"14033",403000,"S",73529.1186199159
"14034",403100,"S",73501.7062993513
"14035",403200,"S",73474.3016264653
"14036",403300,"S",73446.9046014635
"14037",403400,"S",73419.5152245487
"14038",403500,"S",73392.1334959208
"14039",403600,"S",73364.7594157777
"14040",403700,"S",73337.3929843146
"14041",403800,"S",73310.0342017241
"14042",403900,"S",73282.683068196
"14043",404000,"S",73255.3395839175
"14044",404100,"S",73228.0037490737
"14045",404200,"S",73200.6755638466
"14046",404300,"S",73173.3550284158
"14047",404400,"S",73146.0421429583
"14048",404500,"S",73118.7369076487
"14049",404600,"S",73091.4393226591
"14050",404700,"S",73064.1493881587
"14051",404800,"S",73036.8671043145
"14052",404900,"S",73009.5924712908
"14053",405000,"S",72982.3254892493
"14054",405100,"S",72955.066158349
"14055",405200,"S",72927.8144787467
"14056",405300,"S",72900.5704505963
"14057",405400,"S",72873.3340740495
"14058",405500,"S",72846.1053492559
"14059",405600,"S",72818.8842763805
"14060",405700,"S",72791.6708555663
"14061",405800,"S",72764.4650869419
"14062",405900,"S",72737.2669706417
"14063",406000,"S",72710.0765068008
"14064",406100,"S",72682.8936955526
"14065",406200,"S",72655.7185370281
"14066",406300,"S",72628.5510313561
"14067",406400,"S",72601.3911786628
"14068",406500,"S",72574.238979072
"14069",406600,"S",72547.0944327047
"14070",406700,"S",72519.9575396796
"14071",406800,"S",72492.8283001129
"14072",406900,"S",72465.7067141183
"14073",407000,"S",72438.5927818069
"14074",407100,"S",72411.4865032876
"14075",407200,"S",72384.3878786663
"14076",407300,"S",72357.2969080468
"14077",407400,"S",72330.2135915302
"14078",407500,"S",72303.1379292149
"14079",407600,"S",72276.0699211974
"14080",407700,"S",72249.0095675713
"14081",407800,"S",72221.9568684279
"14082",407900,"S",72194.9118238558
"14083",408000,"S",72167.8744339411
"14084",408100,"S",72140.8446987677
"14085",408200,"S",72113.8226184169
"14086",408300,"S",72086.8081929675
"14087",408400,"S",72059.8014224958
"14088",408500,"S",72032.8023070756
"14089",408600,"S",72005.8108467784
"14090",408700,"S",71978.8270416729
"14091",408800,"S",71951.8508918258
"14092",408900,"S",71924.8823973008
"14093",409000,"S",71897.9215581596
"14094",409100,"S",71870.9683744613
"14095",409200,"S",71844.0228462623
"14096",409300,"S",71817.0849736169
"14097",409400,"S",71790.1547565768
"14098",409500,"S",71763.2321951912
"14099",409600,"S",71736.3172895068
"14100",409700,"S",71709.4100395682
"14101",409800,"S",71682.5104454173
"14102",409900,"S",71655.6185070936
"14103",410000,"S",71628.7342246341
"14104",410100,"S",71601.8575980735
"14105",410200,"S",71574.9886274441
"14106",410300,"S",71548.1273127755
"14107",410400,"S",71521.2736540951
"14108",410500,"S",71494.4276514276
"14109",410600,"S",71467.5893047955
"14110",410700,"S",71440.758614219
"14111",410800,"S",71413.9355797157
"14112",410900,"S",71387.1202013008
"14113",411000,"S",71360.312478987
"14114",411100,"S",71333.5124127848
"14115",411200,"S",71306.7200027022
"14116",411300,"S",71279.9352487448
"14117",411400,"S",71253.158150916
"14118",411500,"S",71226.3887092163
"14119",411600,"S",71199.6269236441
"14120",411700,"S",71172.8727941954
"14121",411800,"S",71146.1263208639
"14122",411900,"S",71119.3875036409
"14123",412000,"S",71092.6563425149
"14124",412100,"S",71065.9328374725
"14125",412200,"S",71039.2169884976
"14126",412300,"S",71012.5087955719
"14127",412400,"S",70985.8082586747
"14128",412500,"S",70959.1153777828
"14129",412600,"S",70932.4301528706
"14130",412700,"S",70905.7525839105
"14131",412800,"S",70879.0826708721
"14132",412900,"S",70852.420413723
"14133",413000,"S",70825.765812428
"14134",413100,"S",70799.1188669499
"14135",413200,"S",70772.4795772487
"14136",413300,"S",70745.8479432824
"14137",413400,"S",70719.2239650065
"14138",413500,"S",70692.6076423745
"14139",413600,"S",70665.9989753371
"14140",413700,"S",70639.3979638429
"14141",413800,"S",70612.8046078381
"14142",413900,"S",70586.2189072663
"14143",414000,"S",70559.6408620691
"14144",414100,"S",70533.0704721855
"14145",414200,"S",70506.5077375524
"14146",414300,"S",70479.9526581042
"14147",414400,"S",70453.405233773
"14148",414500,"S",70426.8654644885
"14149",414600,"S",70400.3333501781
"14150",414700,"S",70373.808890767
"14151",414800,"S",70347.2920861779
"14152",414900,"S",70320.7829363314
"14153",415000,"S",70294.2814411455
"14154",415100,"S",70267.7876005361
"14155",415200,"S",70241.3014144166
"14156",415300,"S",70214.8228826982
"14157",415400,"S",70188.3520052897
"14158",415500,"S",70161.8887820976
"14159",415600,"S",70135.4332130264
"14160",415700,"S",70108.9852979779
"14161",415800,"S",70082.5450368518
"14162",415900,"S",70056.1124295454
"14163",416000,"S",70029.6874759538
"14164",416100,"S",70003.2701759696
"14165",416200,"S",69976.8605294833
"14166",416300,"S",69950.4585363829
"14167",416400,"S",69924.0641965543
"14168",416500,"S",69897.677509881
"14169",416600,"S",69871.2984762444
"14170",416700,"S",69844.9270955234
"14171",416800,"S",69818.5633675947
"14172",416900,"S",69792.2072923328
"14173",417000,"S",69765.8588696098
"14174",417100,"S",69739.5180992955
"14175",417200,"S",69713.1849812576
"14176",417300,"S",69686.8595153614
"14177",417400,"S",69660.54170147
"14178",417500,"S",69634.2315394443
"14179",417600,"S",69607.9290291427
"14180",417700,"S",69581.6341704214
"14181",417800,"S",69555.3469631344
"14182",417900,"S",69529.0674071334
"14183",418000,"S",69502.7955022678
"14184",418100,"S",69476.531248385
"14185",418200,"S",69450.2746453303
"14186",418300,"S",69424.0256929462
"14187",418400,"S",69397.7843910732
"14188",418500,"S",69371.5507395494
"14189",418600,"S",69345.3247382108
"14190",418700,"S",69319.1063868912
"14191",418800,"S",69292.8956854221
"14192",418900,"S",69266.6926336329
"14193",419000,"S",69240.4972313505
"14194",419100,"S",69214.3094783998
"14195",419200,"S",69188.1293746035
"14196",419300,"S",69161.9569197818
"14197",419400,"S",69135.792113753
"14198",419500,"S",69109.6349563329
"14199",419600,"S",69083.4854473354
"14200",419700,"S",69057.3435865719
"14201",419800,"S",69031.2093738517
"14202",419900,"S",69005.0828089818
"14203",420000,"S",68978.9638917669
"14204",420100,"S",68952.8526220097
"14205",420200,"S",68926.7489995106
"14206",420300,"S",68900.653024068
"14207",420400,"S",68874.5646954778
"14208",420500,"S",68848.4840135339
"14209",420600,"S",68822.4109780277
"14210",420700,"S",68796.3455887489
"14211",420800,"S",68770.2878454847
"14212",420900,"S",68744.23774802
"14213",421000,"S",68718.1952961378
"14214",421100,"S",68692.1604896186
"14215",421200,"S",68666.1333282412
"14216",421300,"S",68640.1138117815
"14217",421400,"S",68614.1019400138
"14218",421500,"S",68588.09771271
"14219",421600,"S",68562.1011296399
"14220",421700,"S",68536.1121905712
"14221",421800,"S",68510.1308952692
"14222",421900,"S",68484.1572434971
"14223",422000,"S",68458.1912350162
"14224",422100,"S",68432.2328695851
"14225",422200,"S",68406.2821469609
"14226",422300,"S",68380.339066898
"14227",422400,"S",68354.4036291489
"14228",422500,"S",68328.4758334637
"14229",422600,"S",68302.5556795906
"14230",422700,"S",68276.6431672756
"14231",422800,"S",68250.7382962624
"14232",422900,"S",68224.8410662939
"14233",423000,"S",68198.9514771706
"14234",423100,"S",68173.0695286064
"14235",423200,"S",68147.1952202984
"14236",423300,"S",68121.3285519714
"14237",423400,"S",68095.4695233251
"14238",423500,"S",68069.6181340909
"14239",423600,"S",68043.7743840201
"14240",423700,"S",68017.9382728453
"14241",423800,"S",67992.1098002915
"14242",423900,"S",67966.28896608
"14243",424000,"S",67940.4757699292
"14244",424100,"S",67914.6702115554
"14245",424200,"S",67888.8722906725
"14246",424300,"S",67863.0820069925
"14247",424400,"S",67837.2993602251
"14248",424500,"S",67811.5243500791
"14249",424600,"S",67785.7569763289
"14250",424700,"S",67759.9972386513
"14251",424800,"S",67734.2451367041
"14252",424900,"S",67708.5006701776
"14253",425000,"S",67682.7638387334
"14254",425100,"S",67657.0346420696
"14255",425200,"S",67631.3130799065
"14256",425300,"S",67605.599151944
"14257",425400,"S",67579.892857874
"14258",425500,"S",67554.1941973843
