time,population,Conc
192,N,657042.7341924623
193,N,657013.0935951554
194,N,656984.3428012681
195,N,656956.455068662
196,N,656929.4044592099
197,N,656903.1658146208
198,N,656877.7147329897
199,N,656853.0275460545
200,N,656829.081297136
0,I1,1
1,I1,6256.120566228762
2,I1,8476.096473382628
3,I1,9224.279013357987
4,I1,9437.679678250326
5,I1,9457.645661259736
6,I1,9408.581224500718
7,I1,9335.85884137042
8,I1,9256.038866882764
9,I1,9175.161331714418
10,I1,9095.413296260906
11,I1,9017.565888307601
12,I1,8941.86570223622
13,I1,8868.365195834565
14,I1,8797.043997213446
15,I1,8727.85470712786
16,I1,8660.740575799564
17,I1,8595.642357006396
18,I1,8532.50054391597
19,I1,8471.257034751665
20,I1,8411.85483577005
21,I1,8354.23873320496
22,I1,8298.355101530136
23,I1,8244.15184123209
24,I1,8191.578427491406
25,I1,8140.5858620244935
26,I1,8091.126606677047
27,I1,8043.15455457405
28,I1,7996.624985690657
29,I1,7951.494525211555
30,I1,7907.721102085376
31,I1,7865.263909677418
32,I1,7824.083368210085
33,I1,7784.141088244585
34,I1,7745.399835159783
35,I1,7707.823493124997
36,I1,7671.377037007048
37,I1,7636.026492039015
38,I1,7601.7389004240795
39,I1,7568.482295175434
40,I1,7536.225674299416
41,I1,7504.938970053273
42,I1,7474.593017799924
43,I1,7445.159528408657
44,I1,7416.611063295146
45,I1,7388.9210096487695
46,I1,7362.0635550828065
47,I1,7336.013663897825
48,I1,7310.747051736233
49,I1,7286.240164077404
50,I1,7262.470155628821
51,I1,7239.414844867656
52,I1,7217.052815095216
53,I1,7195.363178819504
54,I1,7174.325777889575
55,I1,7153.920971320047
56,I1,7134.129705464622
57,I1,7114.933518060643
58,I1,7096.314534264682
59,I1,7078.255336472553
60,I1,7060.739068092387
61,I1,7043.7493883042225
62,I1,7027.270539853899
63,I1,7011.28718361011
64,I1,6995.784457600739
65,I1,6980.747871134795
66,I1,6966.163437668298
67,I1,6952.017541396206
68,I1,6938.2969775233305
69,I1,6924.9889485358135
70,I1,6912.081047982636
71,I1,6899.561257913015
72,I1,6887.417867563093
73,I1,6875.639542969068
74,I1,6864.21529774824
75,I1,6853.134536852393
76,I1,6842.386955530872
77,I1,6831.962528691859
78,I1,6821.851527263887
79,I1,6812.044522066777
80,I1,6802.532373319584
81,I1,6793.306216946852
82,I1,6784.357454050171
83,I1,6775.677743312406
84,I1,6767.258994157031
85,I1,6759.093359565429
86,I1,6751.17322021296
87,I1,6743.491219558231
88,I1,6736.040182979074
89,I1,6728.813186365906
90,I1,6721.803483329184
91,I1,6715.004529957666
92,I1,6708.409984531692
93,I1,6702.013699593095
94,I1,6695.809713474089
95,I1,6689.792244837047
96,I1,6683.9556855408755
97,I1,6678.294595889321
98,I1,6672.803699732439
99,I1,6667.477879595949
100,I1,6662.312171905844
101,I1,6657.301762348166
102,I1,6652.441981093635
103,I1,6647.728299423679
104,I1,6643.1563243919
105,I1,6638.721795085729
106,I1,6634.420578484111
107,I1,6630.2486662348165
108,I1,6626.202170527393
109,I1,6622.277320403058
110,I1,6618.4704582569075
111,I1,6614.77803645302
112,I1,6611.196617838948
113,I1,6607.722853070526
114,I1,6604.353500624085
115,I1,6601.085418461175
116,I1,6597.915576483643
117,I1,6594.841027615844
118,I1,6591.858904754845
119,I1,6588.966425452394
120,I1,6586.16089302554
121,I1,6583.439693556982
122,I1,6580.800291978216
123,I1,6578.240229057877
124,I1,6575.757119229306
125,I1,6573.34864863432
126,I1,6571.012573065184
127,I1,6568.746715850465
128,I1,6566.548965774055
129,I1,6564.417275087632
130,I1,6562.349657607912
131,I1,6560.344186874734
132,I1,6558.398994358444
133,I1,6556.5122677167
134,I1,6554.682249103217
135,I1,6552.907233528517
136,I1,6551.185567270767
137,I1,6549.515646345105
138,I1,6547.895914958375
139,I1,6546.324864301804
140,I1,6544.801030814642
141,I1,6543.322994742784
142,I1,6541.889379010169
143,I1,6540.498848108123
144,I1,6539.150106772784
145,I1,6537.841898642782
146,I1,6536.57300506933
147,I1,6535.34224404102
148,I1,6534.148469117643
149,I1,6532.990568346067
150,I1,6531.867463199444
151,I1,6530.778107569568
152,I1,6529.721486803102
153,I1,6528.696616761613
154,I1,6527.702542900852
155,I1,6526.738339376557
156,I1,6525.803108181226
157,I1,6524.895978309154
158,I1,6524.016104945459
159,I1,6523.162668677878
160,I1,6522.334874732137
161,I1,6521.531952231094
162,I1,6520.753153476542
163,I1,6519.997753252379
164,I1,6519.265048148433
165,I1,6518.554355904632
166,I1,6517.8650147750195
167,I1,6517.196382910975
168,I1,6516.547837762929
169,I1,6515.918775500006
170,I1,6515.308610447146
171,I1,6514.716774539152
172,I1,6514.142716791183
173,I1,6513.585902785158
174,I1,6513.04581417158
175,I1,6512.521948186363
176,I1,6512.013817182181
177,I1,6511.520948173908
178,I1,6511.04288239774
179,I1,6510.579174883554
180,I1,6510.129394040142
181,I1,6509.693121252907
182,I1,6509.269950493667
183,I1,6508.8594879421835
184,I1,6508.461351619073
185,I1,6508.075171029761
186,I1,6507.700586819138
187,I1,6507.3372504366025
188,I1,6506.984823811173
189,I1,6506.6429790363745
190,I1,6506.311398064597
191,I1,6505.989772410649
192,I1,6505.677802864215
193,I1,6505.375199210976
194,I1,6505.081679962097
195,I1,6504.796972091869
196,I1,6504.52081078322
197,I1,6504.252939180894
198,I1,6503.993108152045
